Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1063,145,24,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2568,737,173,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3389,1083,292,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4048,1387,419,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4379,1587,462,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4474,1627,475,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4499,1656,472,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1192,129,25,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,3013,709,216,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3974,1222,406,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4613,1599,543,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4818,1830,645,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4908,2025,654,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4955,2159,671,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,976,223,25,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2781,800,209,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3907,1266,381,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4489,1715,556,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4797,2001,666,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4929,2225,711,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A10_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4949,2322,747,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,446,499,43,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1172,1045,120,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2344,1437,251,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,3315,1853,431,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,3821,2166,550,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4236,2402,645,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4399,2454,655,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,205,199,11,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,554,326,24,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,1327,523,80,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,2210,772,158,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,2945,1034,241,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,3653,1368,361,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,3796,1424,379,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,364,96,8,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1353,398,69,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2124,669,130,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,2690,902,201,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,3002,1054,241,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,3062,1175,267,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A3_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,3079,1251,291,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,2244,259,48,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,3841,1046,349,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,4864,1670,612,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,5267,2024,776,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5372,2202,863,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5489,2362,891,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5494,2257,841,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,952,525,96,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2483,959,238,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,4110,1362,450,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4926,1752,624,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5202,2006,739,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5509,2312,806,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5565,2416,817,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1178,507,91,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2692,868,212,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,4148,1260,389,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4812,1674,592,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5196,2028,709,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5399,2388,828,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A4_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5518,2491,854,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,548,262,12,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2546,844,208,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3529,1130,292,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4038,1316,350,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4298,1392,379,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4443,1482,400,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4534,1454,393,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,580,376,41,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1708,814,140,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2413,1051,206,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,3095,1229,275,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,3428,1356,329,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,3544,1508,351,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,3618,1578,377,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,846,291,17,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1853,891,168,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2505,1202,265,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,2855,1359,309,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,2873,1407,323,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,2873,1457,334,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A7_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,2827,1492,352,0,0.900,1.000E30,0.900,1.000E30,4,4,0.128,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,588,185,29,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,1474,316,65,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,2948,477,139,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4117,774,239,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4770,1076,352,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5047,1415,456,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5162,1478,468,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,617,190,9,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2124,629,126,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3034,856,179,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,3973,1078,279,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4408,1255,354,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4656,1342,376,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,4744,1390,406,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,539,116,9,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2224,460,99,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3454,746,219,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4391,1028,348,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,4811,1217,409,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,4997,1309,451,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A9_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5028,1419,475,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,995,900,156,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2394,1607,347,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3919,2063,615,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4784,2473,781,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5158,2775,917,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5418,3117,1043,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5474,3257,1059,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,1071,520,59,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2369,1153,204,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,4065,1680,458,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4644,1908,533,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5012,1970,599,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5094,1982,588,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5134,1967,626,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,871,868,112,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,2101,1418,257,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,3592,1735,423,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,4536,2084,600,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-5.tif,5010,2224,715,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-6.tif,5254,2333,781,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A1_ACC_section3_488-Cas9_594-Geph_647-VGAT_20240229_s00-7.tif,5289,2382,746,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-1.tif,194,348,22,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-2.tif,487,646,50,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-3.tif,1052,927,106,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
Output\A2_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_s00-4.tif,1908,1267,210,0,0.900,1.000E30,0.900,1.000E30,4,4,0.129,µm
