 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,red_thresholded,8,255,0,484.875,6.750,484.875,6.750,483,5,4,3,2040,2040
2,red_thresholded,9,255,0,1615.500,6.500,1615.500,6.500,1614,5,3,3,2295,2295
3,red_thresholded,10,255,0,1538.500,7.000,1538.500,7.000,1536,6,5,2,2550,2550
4,red_thresholded,7,255,0,1552.214,8.929,1552.214,8.929,1550,8,4,2,1785,1785
5,red_thresholded,20,255,0,2200.350,10.850,2200.350,10.850,2198,8,4,7,5100,5100
6,red_thresholded,15,255,0,1610.033,11.833,1610.033,11.833,1607,9,6,6,3825,3825
7,red_thresholded,14,255,0,2515.357,10.429,2515.357,10.429,2513,9,5,3,3570,3570
8,red_thresholded,42,255,0,2552.167,12.905,2552.167,12.905,2548,9,8,8,10710,10710
9,red_thresholded,15,255,0,1507.433,14.100,1507.433,14.100,1504,11,6,6,3825,3825
10,red_thresholded,5,255,0,3741.300,12.100,3741.300,12.100,3740,11,3,2,1275,1275
11,red_thresholded,11,255,0,1350.136,13.409,1350.136,13.409,1348,12,4,3,2805,2805
12,red_thresholded,44,255,0,1601.909,16.114,1601.909,16.114,1599,12,7,9,11220,11220
13,red_thresholded,20,255,0,1752.100,14.750,1752.100,14.750,1749,12,6,5,5100,5100
14,red_thresholded,5,255,0,2186.700,13.100,2186.700,13.100,2185,12,3,2,1275,1275
15,red_thresholded,40,255,0,3195.950,16.200,3195.950,16.200,3192,12,9,9,10200,10200
16,red_thresholded,11,255,0,1405.045,14.864,1405.045,14.864,1403,13,4,4,2805,2805
17,red_thresholded,13,255,0,1704.346,15.500,1704.346,15.500,1702,14,5,3,3315,3315
18,red_thresholded,33,255,0,2265.439,19.621,2265.439,19.621,2262,15,6,8,8415,8415
19,red_thresholded,4,255,0,2766.500,15.750,2766.500,15.750,2765,15,3,2,1020,1020
20,red_thresholded,20,255,0,1429.850,18.950,1429.850,18.950,1427,16,5,6,5100,5100
21,red_thresholded,6,255,0,1933.500,17.000,1933.500,17.000,1932,16,3,2,1530,1530
22,red_thresholded,19,255,0,4573.605,19.026,4573.605,19.026,4572,16,4,6,4845,4845
23,red_thresholded,21,255,0,1527.357,19.929,1527.357,19.929,1525,17,5,6,5355,5355
24,red_thresholded,18,255,0,2458.222,19.222,2458.222,19.222,2455,17,6,5,4590,4590
25,red_thresholded,6,255,0,1553.000,19.000,1553.000,19.000,1551,18,4,2,1530,1530
26,red_thresholded,12,255,0,1560.500,20.000,1560.500,20.000,1559,18,3,4,3060,3060
27,red_thresholded,4,255,0,1771.000,19.000,1771.000,19.000,1770,18,2,2,1020,1020
28,red_thresholded,4,255,0,3379.750,19.500,3379.750,19.500,3379,18,2,3,1020,1020
29,red_thresholded,24,255,0,4427.292,20.375,4427.292,20.375,4424,18,6,5,6120,6120
30,red_thresholded,33,255,0,5059.591,20.439,5059.591,20.439,5055,18,9,5,8415,8415
31,red_thresholded,6,255,0,5077.667,19.667,5077.667,19.667,5076,18,3,3,1530,1530
32,red_thresholded,8,255,0,1717.625,20.375,1717.625,20.375,1716,19,3,3,2040,2040
33,red_thresholded,14,255,0,2097.571,21.786,2097.571,21.786,2095,19,5,5,3570,3570
34,red_thresholded,4,255,0,2158.000,20.000,2158.000,20.000,2157,19,2,2,1020,1020
35,red_thresholded,8,255,0,2951.625,20.625,2951.625,20.625,2950,19,3,3,2040,2040
36,red_thresholded,60,255,0,3647.700,23.217,3647.700,23.217,3643,19,10,9,15300,15300
37,red_thresholded,19,255,0,4116.658,21.026,4116.658,21.026,4114,19,6,4,4845,4845
38,red_thresholded,5,255,0,4758.300,20.500,4758.300,20.500,4757,19,3,3,1275,1275
39,red_thresholded,18,255,0,1478.500,22.556,1478.500,22.556,1476,20,5,5,4590,4590
40,red_thresholded,6,255,0,2009.500,21.000,2009.500,21.000,2008,20,3,2,1530,1530
41,red_thresholded,7,255,0,3818.214,21.214,3818.214,21.214,3816,20,4,3,1785,1785
42,red_thresholded,12,255,0,1300.500,22.583,1300.500,22.583,1298,21,5,4,3060,3060
43,red_thresholded,78,255,0,1493.462,28.179,1493.462,28.179,1487,21,14,13,19890,19890
44,red_thresholded,14,255,0,1543.643,23.786,1543.643,23.786,1542,21,4,5,3570,3570
45,red_thresholded,8,255,0,2676.250,23.125,2676.250,23.125,2675,21,3,4,2040,2040
46,red_thresholded,10,255,0,2739.400,22.800,2739.400,22.800,2737,21,4,4,2550,2550
47,red_thresholded,10,255,0,3260.300,22.600,3260.300,22.600,3258,21,4,3,2550,2550
48,red_thresholded,4,255,0,3274.000,22.000,3274.000,22.000,3273,21,2,2,1020,1020
49,red_thresholded,4,255,0,4001.000,22.000,4001.000,22.000,4000,21,2,2,1020,1020
50,red_thresholded,6,255,0,5083.000,22.500,5083.000,22.500,5082,21,2,3,1530,1530
51,red_thresholded,4,255,0,313.000,23.000,313.000,23.000,312,22,2,2,1020,1020
52,red_thresholded,10,255,0,1862.500,24.300,1862.500,24.300,1861,22,3,4,2550,2550
53,red_thresholded,29,255,0,2533.086,25.086,2533.086,25.086,2529,22,7,6,7395,7395
54,red_thresholded,6,255,0,2543.667,23.667,2543.667,23.667,2542,22,3,3,1530,1530
55,red_thresholded,15,255,0,2957.567,23.633,2957.567,23.633,2955,22,6,3,3825,3825
56,red_thresholded,4,255,0,5024.000,23.000,5024.000,23.000,5023,22,2,2,1020,1020
57,red_thresholded,114,255,0,1536.465,36.114,1536.465,36.114,1532,23,8,30,29070,29070
58,red_thresholded,19,255,0,1713.816,26.342,1713.816,26.342,1712,23,4,6,4845,4845
59,red_thresholded,11,255,0,5004.773,25.591,5004.773,25.591,5003,23,4,5,2805,2805
60,red_thresholded,8,255,0,162.250,25.750,162.250,25.750,161,24,3,4,2040,2040
61,red_thresholded,22,255,0,551.045,27.545,551.045,27.545,549,24,5,6,5610,5610
62,red_thresholded,9,255,0,1520.611,25.833,1520.611,25.833,1519,24,3,4,2295,2295
63,red_thresholded,20,255,0,2254.400,27.400,2254.400,27.400,2252,24,5,7,5100,5100
64,red_thresholded,14,255,0,2710.214,26.214,2710.214,26.214,2707,24,6,4,3570,3570
65,red_thresholded,13,255,0,3515.038,25.654,3515.038,25.654,3513,24,4,4,3315,3315
66,red_thresholded,76,255,0,3932.171,30.289,3932.171,30.289,3923,24,18,13,19380,19380
67,red_thresholded,5,255,0,5059.100,25.300,5059.100,25.300,5058,24,2,3,1275,1275
68,red_thresholded,4,255,0,1447.500,26.000,1447.500,26.000,1446,25,3,2,1020,1020
69,red_thresholded,6,255,0,3817.833,27.333,3817.833,27.333,3817,25,2,5,1530,1530
70,red_thresholded,14,255,0,4518.214,26.643,4518.214,26.643,4516,25,5,4,3570,3570
71,red_thresholded,8,255,0,4862.375,26.625,4862.375,26.625,4861,25,3,3,2040,2040
72,red_thresholded,32,255,0,5036.031,28.906,5036.031,28.906,5033,25,7,7,8160,8160
73,red_thresholded,16,255,0,1581.500,28.625,1581.500,28.625,1579,26,5,5,4080,4080
74,red_thresholded,27,255,0,4610.870,29.093,4610.870,29.093,4608,26,6,6,6885,6885
75,red_thresholded,7,255,0,1989.500,29.214,1989.500,29.214,1988,27,3,4,1785,1785
