 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,green_thresholded,7,255,0,6176.071,3.786,6176.071,3.786,6175,2,2,4,1785,1785
2,green_thresholded,4,255,0,5876.500,3.750,5876.500,3.750,5875,3,3,2,1020,1020
3,green_thresholded,11,255,0,6530.682,6.227,6530.682,6.227,6529,4,4,4,2805,2805
4,green_thresholded,19,255,0,5437.553,7.289,5437.553,7.289,5435,5,5,5,4845,4845
5,green_thresholded,4,255,0,5454.000,7.000,5454.000,7.000,5453,6,2,2,1020,1020
6,green_thresholded,7,255,0,5839.500,7.214,5839.500,7.214,5837,6,4,3,1785,1785
7,green_thresholded,14,255,0,5976.000,8.000,5976.000,8.000,5974,6,4,4,3570,3570
8,green_thresholded,38,255,0,6130.763,10.447,6130.763,10.447,6127,6,8,10,9690,9690
9,green_thresholded,19,255,0,6249.605,9.079,6249.605,9.079,6247,6,5,6,4845,4845
10,green_thresholded,17,255,0,4988.265,9.265,4988.265,9.265,4986,7,5,5,4335,4335
11,green_thresholded,8,255,0,3693.125,9.250,3693.125,9.250,3691,8,4,3,2040,2040
12,green_thresholded,5,255,0,3751.500,9.100,3751.500,9.100,3750,8,3,2,1275,1275
13,green_thresholded,7,255,0,5051.500,9.786,5051.500,9.786,5050,8,3,3,1785,1785
14,green_thresholded,4,255,0,6215.000,9.500,6215.000,9.500,6214,8,2,3,1020,1020
15,green_thresholded,6,255,0,3866.333,10.167,3866.333,10.167,3865,9,3,3,1530,1530
16,green_thresholded,8,255,0,4956.250,13.250,4956.250,13.250,4955,11,3,4,2040,2040
17,green_thresholded,19,255,0,5531.868,13.711,5531.868,13.711,5529,11,5,5,4845,4845
18,green_thresholded,4,255,0,5760.250,11.750,5760.250,11.750,5759,11,3,2,1020,1020
19,green_thresholded,20,255,0,5834.500,14.150,5834.500,14.150,5832,11,5,6,5100,5100
20,green_thresholded,13,255,0,5141.346,14.269,5141.346,14.269,5139,12,5,4,3315,3315
21,green_thresholded,14,255,0,5511.714,13.643,5511.714,13.643,5509,12,5,4,3570,3570
22,green_thresholded,23,255,0,6346.543,15.239,6346.543,15.239,6344,12,5,6,5865,5865
23,green_thresholded,15,255,0,3095.633,15.300,3095.633,15.300,3093,13,5,5,3825,3825
24,green_thresholded,4,255,0,5425.000,14.000,5425.000,14.000,5424,13,2,2,1020,1020
25,green_thresholded,19,255,0,5640.500,16.132,5640.500,16.132,5638,13,5,6,4845,4845
26,green_thresholded,17,255,0,5790.500,15.853,5790.500,15.853,5788,13,5,5,4335,4335
27,green_thresholded,4,255,0,5818.000,14.500,5818.000,14.500,5817,13,2,3,1020,1020
28,green_thresholded,32,255,0,6142.188,18.000,6142.188,18.000,6140,13,5,9,8160,8160
29,green_thresholded,12,255,0,5156.667,15.917,5156.667,15.917,5154,14,5,4,3060,3060
30,green_thresholded,8,255,0,6008.625,15.625,6008.625,15.625,6007,14,3,3,2040,2040
31,green_thresholded,13,255,0,6137.500,16.500,6137.500,16.500,6136,14,3,5,3315,3315
32,green_thresholded,7,255,0,5618.214,16.500,5618.214,16.500,5617,15,3,3,1785,1785
33,green_thresholded,17,255,0,2455.147,17.971,2455.147,17.971,2453,16,5,4,4335,4335
34,green_thresholded,4,255,0,3374.500,16.750,3374.500,16.750,3373,16,3,2,1020,1020
35,green_thresholded,10,255,0,4743.700,18.000,4743.700,18.000,4742,16,3,4,2550,2550
36,green_thresholded,8,255,0,5053.375,17.375,5053.375,17.375,5052,16,3,3,2040,2040
37,green_thresholded,14,255,0,6028.857,18.500,6028.857,18.500,6027,16,4,5,3570,3570
38,green_thresholded,4,255,0,3813.000,18.000,3813.000,18.000,3812,17,2,2,1020,1020
39,green_thresholded,12,255,0,3827.500,19.000,3827.500,19.000,3826,17,3,4,3060,3060
40,green_thresholded,8,255,0,3907.000,18.375,3907.000,18.375,3905,17,4,3,2040,2040
41,green_thresholded,18,255,0,4855.500,19.000,4855.500,19.000,4853,17,5,4,4590,4590
42,green_thresholded,17,255,0,5440.912,19.618,5440.912,19.618,5439,17,4,5,4335,4335
43,green_thresholded,10,255,0,6130.500,19.300,6130.500,19.300,6129,17,3,4,2550,2550
44,green_thresholded,18,255,0,3281.222,20.611,3281.222,20.611,3279,18,5,5,4590,4590
45,green_thresholded,9,255,0,3506.500,19.833,3506.500,19.833,3505,18,3,4,2295,2295
46,green_thresholded,4,255,0,3719.250,19.000,3719.250,19.000,3718,18,3,2,1020,1020
47,green_thresholded,12,255,0,3969.000,20.000,3969.000,20.000,3967,18,4,4,3060,3060
48,green_thresholded,9,255,0,3997.389,19.278,3997.389,19.278,3995,18,4,3,2295,2295
49,green_thresholded,11,255,0,5216.318,19.682,5216.318,19.682,5214,18,4,4,2805,2805
50,green_thresholded,18,255,0,5621.500,20.000,5621.500,20.000,5619,18,5,4,4590,4590
51,green_thresholded,7,255,0,6497.214,20.071,6497.214,20.071,6496,18,3,4,1785,1785
52,green_thresholded,7,255,0,3793.500,20.214,3793.500,20.214,3792,19,3,3,1785,1785
53,green_thresholded,5,255,0,5495.900,20.700,5495.900,20.700,5495,19,2,3,1275,1275
54,green_thresholded,8,255,0,1528.000,21.000,1528.000,21.000,1526,20,4,2,2040,2040
55,green_thresholded,5,255,0,2069.700,20.900,2069.700,20.900,2068,20,3,2,1275,1275
56,green_thresholded,4,255,0,3536.500,21.250,3536.500,21.250,3535,20,3,3,1020,1020
57,green_thresholded,18,255,0,5649.167,22.500,5649.167,22.500,5647,20,4,5,4590,4590
58,green_thresholded,5,255,0,6362.900,21.700,6362.900,21.700,6362,20,2,3,1275,1275
59,green_thresholded,9,255,0,6373.611,22.167,6373.611,22.167,6372,20,3,4,2295,2295
60,green_thresholded,9,255,0,3350.722,23.389,3350.722,23.389,3349,21,3,5,2295,2295
61,green_thresholded,13,255,0,3615.115,22.885,3615.115,22.885,3613,21,4,4,3315,3315
62,green_thresholded,6,255,0,5005.667,22.667,5005.667,22.667,5004,21,3,3,1530,1530
63,green_thresholded,4,255,0,5698.000,22.000,5698.000,22.000,5697,21,2,2,1020,1020
64,green_thresholded,6,255,0,5830.000,22.500,5830.000,22.500,5829,21,2,3,1530,1530
65,green_thresholded,7,255,0,1760.786,23.357,1760.786,23.357,1759,22,3,3,1785,1785
66,green_thresholded,7,255,0,2231.786,23.500,2231.786,23.500,2230,22,3,3,1785,1785
67,green_thresholded,7,255,0,2334.214,23.643,2334.214,23.643,2333,22,3,3,1785,1785
68,green_thresholded,18,255,0,3914.389,24.444,3914.389,24.444,3912,22,5,5,4590,4590
69,green_thresholded,10,255,0,5025.400,24.500,5025.400,24.500,5023,22,4,4,2550,2550
70,green_thresholded,10,255,0,5066.900,24.100,5066.900,24.100,5065,22,4,4,2550,2550
71,green_thresholded,5,255,0,5809.900,23.300,5809.900,23.300,5809,22,2,3,1275,1275
72,green_thresholded,23,255,0,6240.848,24.587,6240.848,24.587,6238,22,6,5,5865,5865
73,green_thresholded,4,255,0,2219.000,24.000,2219.000,24.000,2218,23,2,2,1020,1020
74,green_thresholded,7,255,0,2525.786,24.500,2525.786,24.500,2524,23,3,3,1785,1785
75,green_thresholded,18,255,0,3682.778,25.778,3682.778,25.778,3680,23,5,5,4590,4590
76,green_thresholded,5,255,0,3812.500,25.100,3812.500,25.100,3811,23,3,4,1275,1275
77,green_thresholded,19,255,0,5290.974,25.500,5290.974,25.500,5289,23,5,5,4845,4845
78,green_thresholded,10,255,0,3995.300,26.000,3995.300,26.000,3994,24,3,4,2550,2550
79,green_thresholded,12,255,0,4007.917,26.500,4007.917,26.500,4006,24,4,5,3060,3060
80,green_thresholded,6,255,0,4657.500,25.333,4657.500,25.333,4656,24,3,3,1530,1530
81,green_thresholded,24,255,0,5713.250,26.958,5713.250,26.958,5711,24,5,6,6120,6120
82,green_thresholded,18,255,0,5310.000,27.778,5310.000,27.778,5308,25,4,6,4590,4590
83,green_thresholded,8,255,0,6120.625,26.625,6120.625,26.625,6119,25,3,3,2040,2040
84,green_thresholded,6,255,0,2512.333,27.667,2512.333,27.667,2511,26,3,3,1530,1530
85,green_thresholded,17,255,0,2698.912,28.618,2698.912,28.618,2697,26,4,5,4335,4335
86,green_thresholded,5,255,0,5741.900,27.700,5741.900,27.700,5741,26,2,3,1275,1275
87,green_thresholded,18,255,0,5869.556,28.389,5869.556,28.389,5867,26,5,5,4590,4590
88,green_thresholded,13,255,0,6061.808,27.731,6061.808,27.731,6059,26,5,4,3315,3315
89,green_thresholded,7,255,0,6426.786,27.500,6426.786,27.500,6425,26,3,3,1785,1785
90,green_thresholded,16,255,0,6470.312,28.000,6470.312,28.000,6468,26,5,4,4080,4080
91,green_thresholded,14,255,0,6531.000,28.286,6531.000,28.286,6529,26,4,5,3570,3570
