,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,2.0,A1, AB7927,M,CTRL,42
1,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,0.0,4.0,A1, AB7927,M,CTRL,42
2,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,0.0,6.0,A1, AB7927,M,CTRL,42
3,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,6.0,8.0,A1, AB7927,M,CTRL,42
4,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,4.0,10.0,A1, AB7927,M,CTRL,42
5,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,6.0,12.0,A1, AB7927,M,CTRL,42
6,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,2.0,14.0,A1, AB7927,M,CTRL,42
7,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,16.0,A1, AB7927,M,CTRL,42
8,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,9.0,18.0,A1, AB7927,M,CTRL,42
9,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,12.0,20.0,A1, AB7927,M,CTRL,42
10,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,23.0,22.0,A1, AB7927,M,CTRL,42
11,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,36.0,24.0,A1, AB7927,M,CTRL,42
12,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,15.0,26.0,A1, AB7927,M,CTRL,42
13,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,19.0,28.0,A1, AB7927,M,CTRL,42
14,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,20.0,30.0,A1, AB7927,M,CTRL,42
15,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,9.0,32.0,A1, AB7927,M,CTRL,42
16,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,8.0,34.0,A1, AB7927,M,CTRL,42
17,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,36.0,A1, AB7927,M,CTRL,42
18,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,8.0,38.0,A1, AB7927,M,CTRL,42
19,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,11.0,40.0,A1, AB7927,M,CTRL,42
20,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,12.0,42.0,A1, AB7927,M,CTRL,42
21,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,44.0,A1, AB7927,M,CTRL,42
22,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,30.0,46.0,A1, AB7927,M,CTRL,42
23,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,16.0,48.0,A1, AB7927,M,CTRL,42
24,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,50.0,A1, AB7927,M,CTRL,42
25,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,52.0,A1, AB7927,M,CTRL,42
26,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,4.0,54.0,A1, AB7927,M,CTRL,42
27,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,12.0,56.0,A1, AB7927,M,CTRL,42
28,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,9.0,58.0,A1, AB7927,M,CTRL,42
29,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,9.0,60.0,A1, AB7927,M,CTRL,42
30,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,12.0,62.0,A1, AB7927,M,CTRL,42
31,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,64.0,A1, AB7927,M,CTRL,42
32,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,66.0,A1, AB7927,M,CTRL,42
33,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,68.0,A1, AB7927,M,CTRL,42
34,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,70.0,A1, AB7927,M,CTRL,42
35,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,72.0,A1, AB7927,M,CTRL,42
36,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,74.0,A1, AB7927,M,CTRL,42
37,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,76.0,A1, AB7927,M,CTRL,42
38,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,1.0,78.0,A1, AB7927,M,CTRL,42
39,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,10.0,80.0,A1, AB7927,M,CTRL,42
40,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,82.0,A1, AB7927,M,CTRL,42
41,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,84.0,A1, AB7927,M,CTRL,42
42,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,6.0,86.0,A1, AB7927,M,CTRL,42
43,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,6.0,88.0,A1, AB7927,M,CTRL,42
44,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,1.0,90.0,A1, AB7927,M,CTRL,42
45,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,4.0,92.0,A1, AB7927,M,CTRL,42
46,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,94.0,A1, AB7927,M,CTRL,42
47,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,96.0,A1, AB7927,M,CTRL,42
48,A10_ACC_section1_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,0.0,98.0,A1, AB7927,M,CTRL,42
0,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,1.0,2.0,A1, AB7927,M,CTRL,42
1,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,1.0,4.0,A1, AB7927,M,CTRL,42
2,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,1.0,6.0,A1, AB7927,M,CTRL,42
3,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,3.0,8.0,A1, AB7927,M,CTRL,42
4,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,4.0,10.0,A1, AB7927,M,CTRL,42
5,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,4.0,12.0,A1, AB7927,M,CTRL,42
6,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,2.0,14.0,A1, AB7927,M,CTRL,42
7,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,9.0,16.0,A1, AB7927,M,CTRL,42
8,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,17.0,18.0,A1, AB7927,M,CTRL,42
9,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,37.0,20.0,A1, AB7927,M,CTRL,42
10,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,47.0,22.0,A1, AB7927,M,CTRL,42
11,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,27.0,24.0,A1, AB7927,M,CTRL,42
12,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,19.0,26.0,A1, AB7927,M,CTRL,42
13,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,28.0,A1, AB7927,M,CTRL,42
14,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,31.0,30.0,A1, AB7927,M,CTRL,42
15,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,11.0,32.0,A1, AB7927,M,CTRL,42
16,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,23.0,34.0,A1, AB7927,M,CTRL,42
17,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,32.0,36.0,A1, AB7927,M,CTRL,42
18,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,38.0,A1, AB7927,M,CTRL,42
19,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,20.0,40.0,A1, AB7927,M,CTRL,42
20,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,23.0,42.0,A1, AB7927,M,CTRL,42
21,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,25.0,44.0,A1, AB7927,M,CTRL,42
22,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,11.0,46.0,A1, AB7927,M,CTRL,42
23,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,28.0,48.0,A1, AB7927,M,CTRL,42
24,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,5.0,50.0,A1, AB7927,M,CTRL,42
25,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,16.0,52.0,A1, AB7927,M,CTRL,42
26,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,22.0,54.0,A1, AB7927,M,CTRL,42
27,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,18.0,56.0,A1, AB7927,M,CTRL,42
28,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,16.0,58.0,A1, AB7927,M,CTRL,42
29,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,60.0,A1, AB7927,M,CTRL,42
30,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,5.0,62.0,A1, AB7927,M,CTRL,42
31,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,7.0,64.0,A1, AB7927,M,CTRL,42
32,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,16.0,66.0,A1, AB7927,M,CTRL,42
33,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,12.0,68.0,A1, AB7927,M,CTRL,42
34,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,6.0,70.0,A1, AB7927,M,CTRL,42
35,A10_ACC_section2_488-Cas9_594-Geph_647-VGAT_20240229_Merged-1.tif,14.0,72.0,A1, AB7927,M,CTRL,42
