Genotype,Animal,Normalized distance from pia (%),Synapse Counts
CKO, AB7917,2.0,1.0
CKO, AB7917,4.0,4.333333333333333
CKO, AB7917,6.0,11.333333333333334
CKO, AB7917,8.0,11.333333333333334
CKO, AB7917,10.0,13.0
CKO, AB7917,12.0,10.666666666666666
CKO, AB7917,14.0,13.0
CKO, AB7917,16.0,18.0
CKO, AB7917,18.0,36.666666666666664
CKO, AB7917,20.0,34.333333333333336
CKO, AB7917,22.0,41.0
CKO, AB7917,24.0,51.666666666666664
CKO, AB7917,26.0,33.333333333333336
CKO, AB7917,28.0,33.333333333333336
CKO, AB7917,30.0,29.666666666666668
CKO, AB7917,32.0,37.0
CKO, AB7917,34.0,27.666666666666668
CKO, AB7917,36.0,28.333333333333332
CKO, AB7917,38.0,31.333333333333332
CKO, AB7917,40.0,33.666666666666664
CKO, AB7917,42.0,37.666666666666664
CKO, AB7917,44.0,33.333333333333336
CKO, AB7917,46.0,46.333333333333336
CKO, AB7917,48.0,35.0
CKO, AB7917,50.0,34.666666666666664
CKO, AB7917,52.0,33.666666666666664
CKO, AB7917,54.0,30.0
CKO, AB7917,56.0,27.0
CKO, AB7917,58.0,27.0
CKO, AB7917,60.0,32.333333333333336
CKO, AB7917,62.0,31.333333333333332
CKO, AB7917,64.0,30.0
CKO, AB7917,66.0,22.666666666666668
CKO, AB7917,68.0,22.666666666666668
CKO, AB7917,70.0,17.333333333333332
CKO, AB7917,72.0,18.0
CKO, AB7917,74.0,19.666666666666668
CKO, AB7917,76.0,18.333333333333332
CKO, AB7917,78.0,22.333333333333332
CKO, AB7917,80.0,17.333333333333332
CKO, AB7917,82.0,20.0
CKO, AB7917,84.0,12.666666666666666
CKO, AB7917,86.0,21.0
CKO, AB7917,88.0,13.333333333333334
CKO, AB7917,90.0,13.0
CKO, AB7917,92.0,19.0
CKO, AB7917,94.0,11.666666666666666
CKO, AB7917,96.0,11.666666666666666
CKO, AB7917,98.0,7.333333333333333
CKO, AB7930,2.0,1.0
CKO, AB7930,4.0,4.666666666666667
CKO, AB7930,6.0,4.0
CKO, AB7930,8.0,3.0
CKO, AB7930,10.0,4.666666666666667
CKO, AB7930,12.0,1.3333333333333333
CKO, AB7930,14.0,1.6666666666666667
CKO, AB7930,16.0,6.666666666666667
CKO, AB7930,18.0,8.666666666666666
CKO, AB7930,20.0,17.666666666666668
CKO, AB7930,22.0,22.0
CKO, AB7930,24.0,21.666666666666668
CKO, AB7930,26.0,13.0
CKO, AB7930,28.0,10.666666666666666
CKO, AB7930,30.0,18.333333333333332
CKO, AB7930,32.0,12.0
CKO, AB7930,34.0,11.333333333333334
CKO, AB7930,36.0,12.333333333333334
CKO, AB7930,38.0,6.333333333333333
CKO, AB7930,40.0,4.333333333333333
CKO, AB7930,42.0,5.333333333333333
CKO, AB7930,44.0,10.333333333333334
CKO, AB7930,46.0,17.666666666666668
CKO, AB7930,48.0,12.333333333333334
CKO, AB7930,50.0,12.333333333333334
CKO, AB7930,52.0,9.0
CKO, AB7930,54.0,8.666666666666666
CKO, AB7930,56.0,4.0
CKO, AB7930,58.0,8.0
CKO, AB7930,60.0,8.333333333333334
CKO, AB7930,62.0,7.0
CKO, AB7930,64.0,6.333333333333333
CKO, AB7930,66.0,7.0
CKO, AB7930,68.0,5.666666666666667
CKO, AB7930,70.0,3.6666666666666665
CKO, AB7930,72.0,3.3333333333333335
CKO, AB7930,74.0,4.666666666666667
CKO, AB7930,76.0,3.6666666666666665
CKO, AB7930,78.0,5.333333333333333
CKO, AB7930,80.0,2.6666666666666665
CKO, AB7930,82.0,2.6666666666666665
CKO, AB7930,84.0,2.0
CKO, AB7930,86.0,2.3333333333333335
CKO, AB7930,88.0,4.0
CKO, AB7930,90.0,2.6666666666666665
CKO, AB7930,92.0,2.3333333333333335
CKO, AB7930,94.0,3.0
CKO, AB7930,96.0,2.0
CKO, AB7930,98.0,2.3333333333333335
CKO, AB7931,2.0,1.0
CKO, AB7931,4.0,1.3333333333333333
CKO, AB7931,6.0,1.6666666666666667
CKO, AB7931,8.0,1.0
CKO, AB7931,10.0,2.0
CKO, AB7931,12.0,0.0
CKO, AB7931,14.0,1.0
CKO, AB7931,16.0,6.333333333333333
CKO, AB7931,18.0,10.0
CKO, AB7931,20.0,10.0
CKO, AB7931,22.0,15.666666666666666
CKO, AB7931,24.0,19.333333333333332
CKO, AB7931,26.0,15.333333333333334
CKO, AB7931,28.0,13.666666666666666
CKO, AB7931,30.0,8.333333333333334
CKO, AB7931,32.0,11.333333333333334
CKO, AB7931,34.0,7.0
CKO, AB7931,36.0,8.0
CKO, AB7931,38.0,8.333333333333334
CKO, AB7931,40.0,8.666666666666666
CKO, AB7931,42.0,9.0
CKO, AB7931,44.0,14.0
CKO, AB7931,46.0,12.0
CKO, AB7931,48.0,8.666666666666666
CKO, AB7931,50.0,16.333333333333332
CKO, AB7931,52.0,14.333333333333334
CKO, AB7931,54.0,11.0
CKO, AB7931,56.0,9.0
CKO, AB7931,58.0,7.666666666666667
CKO, AB7931,60.0,7.0
CKO, AB7931,62.0,10.333333333333334
CKO, AB7931,64.0,11.666666666666666
CKO, AB7931,66.0,4.333333333333333
CKO, AB7931,68.0,6.666666666666667
CKO, AB7931,70.0,4.0
CKO, AB7931,72.0,4.0
CKO, AB7931,74.0,3.0
CKO, AB7931,76.0,4.666666666666667
CKO, AB7931,78.0,3.0
CKO, AB7931,80.0,1.0
CKO, AB7931,82.0,3.0
CKO, AB7931,84.0,3.3333333333333335
CKO, AB7931,86.0,4.666666666666667
CKO, AB7931,88.0,5.666666666666667
CKO, AB7931,90.0,4.333333333333333
CKO, AB7931,92.0,4.0
CKO, AB7931,94.0,5.0
CKO, AB7931,96.0,2.0
CKO, AB7931,98.0,1.6666666666666667
CKO, AB7932,2.0,0.3333333333333333
CKO, AB7932,4.0,0.6666666666666666
CKO, AB7932,6.0,2.3333333333333335
CKO, AB7932,8.0,2.3333333333333335
