Genotype,Animal,Normalized distance from pia (%),VGAT Counts
CKO, AB7917,2.0,157.0
CKO, AB7917,4.0,362.0
CKO, AB7917,6.0,439.0
CKO, AB7917,8.0,433.6666666666667
CKO, AB7917,10.0,361.3333333333333
CKO, AB7917,12.0,264.0
CKO, AB7917,14.0,191.0
CKO, AB7917,16.0,318.6666666666667
CKO, AB7917,18.0,390.3333333333333
CKO, AB7917,20.0,460.0
CKO, AB7917,22.0,469.3333333333333
CKO, AB7917,24.0,477.0
CKO, AB7917,26.0,451.6666666666667
CKO, AB7917,28.0,434.0
CKO, AB7917,30.0,405.0
CKO, AB7917,32.0,417.3333333333333
CKO, AB7917,34.0,405.0
CKO, AB7917,36.0,376.6666666666667
CKO, AB7917,38.0,392.3333333333333
CKO, AB7917,40.0,392.3333333333333
CKO, AB7917,42.0,389.6666666666667
CKO, AB7917,44.0,420.0
CKO, AB7917,46.0,424.0
CKO, AB7917,48.0,426.0
CKO, AB7917,50.0,437.6666666666667
CKO, AB7917,52.0,404.0
CKO, AB7917,54.0,404.6666666666667
CKO, AB7917,56.0,399.3333333333333
CKO, AB7917,58.0,400.3333333333333
CKO, AB7917,60.0,395.3333333333333
CKO, AB7917,62.0,393.3333333333333
CKO, AB7917,64.0,396.6666666666667
CKO, AB7917,66.0,389.0
CKO, AB7917,68.0,327.0
CKO, AB7917,70.0,290.3333333333333
CKO, AB7917,72.0,258.6666666666667
CKO, AB7917,74.0,262.6666666666667
CKO, AB7917,76.0,274.3333333333333
CKO, AB7917,78.0,258.6666666666667
CKO, AB7917,80.0,242.66666666666666
CKO, AB7917,82.0,224.66666666666666
CKO, AB7917,84.0,199.0
CKO, AB7917,86.0,174.33333333333334
CKO, AB7917,88.0,179.33333333333334
CKO, AB7917,90.0,176.0
CKO, AB7917,92.0,145.33333333333334
CKO, AB7917,94.0,125.0
CKO, AB7917,96.0,103.33333333333333
CKO, AB7917,98.0,77.66666666666667
CKO, AB7930,2.0,102.66666666666667
CKO, AB7930,4.0,102.33333333333333
CKO, AB7930,6.0,85.33333333333333
CKO, AB7930,8.0,65.0
CKO, AB7930,10.0,43.333333333333336
CKO, AB7930,12.0,29.0
CKO, AB7930,14.0,25.0
CKO, AB7930,16.0,64.66666666666667
CKO, AB7930,18.0,108.33333333333333
CKO, AB7930,20.0,183.33333333333334
CKO, AB7930,22.0,230.66666666666666
CKO, AB7930,24.0,238.33333333333334
CKO, AB7930,26.0,195.66666666666666
CKO, AB7930,28.0,159.66666666666666
CKO, AB7930,30.0,172.66666666666666
CKO, AB7930,32.0,165.33333333333334
CKO, AB7930,34.0,140.0
CKO, AB7930,36.0,132.33333333333334
CKO, AB7930,38.0,111.66666666666667
CKO, AB7930,40.0,97.0
CKO, AB7930,42.0,75.0
CKO, AB7930,44.0,120.0
CKO, AB7930,46.0,165.66666666666666
CKO, AB7930,48.0,144.66666666666666
CKO, AB7930,50.0,134.0
CKO, AB7930,52.0,130.0
CKO, AB7930,54.0,131.33333333333334
CKO, AB7930,56.0,105.66666666666667
CKO, AB7930,58.0,120.33333333333333
CKO, AB7930,60.0,117.0
CKO, AB7930,62.0,113.0
CKO, AB7930,64.0,113.33333333333333
CKO, AB7930,66.0,97.66666666666667
CKO, AB7930,68.0,83.0
CKO, AB7930,70.0,66.33333333333333
CKO, AB7930,72.0,62.333333333333336
CKO, AB7930,74.0,52.0
CKO, AB7930,76.0,61.333333333333336
CKO, AB7930,78.0,62.666666666666664
CKO, AB7930,80.0,49.333333333333336
CKO, AB7930,82.0,56.333333333333336
CKO, AB7930,84.0,34.333333333333336
CKO, AB7930,86.0,33.0
CKO, AB7930,88.0,32.333333333333336
CKO, AB7930,90.0,27.666666666666668
CKO, AB7930,92.0,41.666666666666664
CKO, AB7930,94.0,31.666666666666668
CKO, AB7930,96.0,22.333333333333332
CKO, AB7930,98.0,23.333333333333332
CKO, AB7931,2.0,163.33333333333334
CKO, AB7931,4.0,130.33333333333334
CKO, AB7931,6.0,112.66666666666667
CKO, AB7931,8.0,106.66666666666667
CKO, AB7931,10.0,65.33333333333333
CKO, AB7931,12.0,63.0
CKO, AB7931,14.0,54.333333333333336
CKO, AB7931,16.0,115.0
CKO, AB7931,18.0,176.66666666666666
CKO, AB7931,20.0,264.6666666666667
CKO, AB7931,22.0,282.3333333333333
CKO, AB7931,24.0,300.0
CKO, AB7931,26.0,288.6666666666667
CKO, AB7931,28.0,241.0
CKO, AB7931,30.0,232.0
CKO, AB7931,32.0,230.66666666666666
CKO, AB7931,34.0,224.66666666666666
CKO, AB7931,36.0,216.0
CKO, AB7931,38.0,193.33333333333334
CKO, AB7931,40.0,198.33333333333334
CKO, AB7931,42.0,177.0
CKO, AB7931,44.0,263.6666666666667
CKO, AB7931,46.0,278.6666666666667
CKO, AB7931,48.0,282.0
CKO, AB7931,50.0,284.6666666666667
CKO, AB7931,52.0,271.3333333333333
CKO, AB7931,54.0,276.6666666666667
CKO, AB7931,56.0,217.0
CKO, AB7931,58.0,233.33333333333334
CKO, AB7931,60.0,263.3333333333333
CKO, AB7931,62.0,262.0
CKO, AB7931,64.0,258.6666666666667
CKO, AB7931,66.0,234.0
CKO, AB7931,68.0,176.66666666666666
CKO, AB7931,70.0,145.33333333333334
CKO, AB7931,72.0,148.33333333333334
CKO, AB7931,74.0,142.66666666666666
CKO, AB7931,76.0,129.0
CKO, AB7931,78.0,115.33333333333333
CKO, AB7931,80.0,109.66666666666667
CKO, AB7931,82.0,93.33333333333333
CKO, AB7931,84.0,90.33333333333333
CKO, AB7931,86.0,104.33333333333333
CKO, AB7931,88.0,103.0
CKO, AB7931,90.0,106.33333333333333
CKO, AB7931,92.0,97.66666666666667
CKO, AB7931,94.0,73.33333333333333
CKO, AB7931,96.0,56.333333333333336
CKO, AB7931,98.0,35.333333333333336
CKO, AB7932,2.0,87.0
CKO, AB7932,4.0,90.33333333333333
CKO, AB7932,6.0,76.0
CKO, AB7932,8.0,57.0
CKO, AB7932,10.0,58.666666666666664
CKO, AB7932,12.0,86.66666666666667
CKO, AB7932,14.0,76.0
CKO, AB7932,16.0,178.0
CKO, AB7932,18.0,224.66666666666666
CKO, AB7932,20.0,241.0
CKO, AB7932,22.0,237.33333333333334
CKO, AB7932,24.0,208.33333333333334
CKO, AB7932,26.0,217.66666666666666
CKO, AB7932,28.0,157.66666666666666
CKO, AB7932,30.0,170.33333333333334
CKO, AB7932,32.0,173.33333333333334
CKO, AB7932,34.0,147.66666666666666
CKO, AB7932,36.0,132.33333333333334
CKO, AB7932,38.0,139.66666666666666
CKO, AB7932,40.0,136.66666666666666
CKO, AB7932,42.0,123.66666666666667
CKO, AB7932,44.0,149.0
CKO, AB7932,46.0,152.33333333333334
CKO, AB7932,48.0,152.66666666666666
CKO, AB7932,50.0,155.66666666666666
CKO, AB7932,52.0,168.0
CKO, AB7932,54.0,129.66666666666666
CKO, AB7932,56.0,114.66666666666667
CKO, AB7932,58.0,124.66666666666667
CKO, AB7932,60.0,133.0
CKO, AB7932,62.0,125.66666666666667
CKO, AB7932,64.0,115.0
CKO, AB7932,66.0,92.33333333333333
CKO, AB7932,68.0,86.0
CKO, AB7932,70.0,69.66666666666667
CKO, AB7932,72.0,78.66666666666667
CKO, AB7932,74.0,88.33333333333333
CKO, AB7932,76.0,70.33333333333333
CKO, AB7932,78.0,63.333333333333336
CKO, AB7932,80.0,59.333333333333336
CKO, AB7932,82.0,62.333333333333336
CKO, AB7932,84.0,45.0
CKO, AB7932,86.0,67.33333333333333
CKO, AB7932,88.0,72.33333333333333
CKO, AB7932,90.0,68.33333333333333
CKO, AB7932,92.0,65.66666666666667
CKO, AB7932,94.0,39.666666666666664
CKO, AB7932,96.0,34.0
CKO, AB7932,98.0,31.666666666666668
CTRL, AB7920,2.0,296.3333333333333
CTRL, AB7920,4.0,349.0
CTRL, AB7920,6.0,375.6666666666667
CTRL, AB7920,8.0,313.3333333333333
CTRL, AB7920,10.0,267.6666666666667
CTRL, AB7920,12.0,212.66666666666666
CTRL, AB7920,14.0,172.66666666666666
CTRL, AB7920,16.0,225.66666666666666
CTRL, AB7920,18.0,278.6666666666667
CTRL, AB7920,20.0,359.3333333333333
CTRL, AB7920,22.0,397.6666666666667
CTRL, AB7920,24.0,431.0
CTRL, AB7920,26.0,420.6666666666667
CTRL, AB7920,28.0,381.3333333333333
CTRL, AB7920,30.0,405.0
CTRL, AB7920,32.0,390.3333333333333
CTRL, AB7920,34.0,370.3333333333333
CTRL, AB7920,36.0,367.3333333333333
CTRL, AB7920,38.0,335.3333333333333
CTRL, AB7920,40.0,328.6666666666667
CTRL, AB7920,42.0,305.3333333333333
CTRL, AB7920,44.0,344.0
CTRL, AB7920,46.0,358.3333333333333
CTRL, AB7920,48.0,365.3333333333333
CTRL, AB7920,50.0,394.0
CTRL, AB7920,52.0,367.3333333333333
CTRL, AB7920,54.0,363.6666666666667
CTRL, AB7920,56.0,368.3333333333333
CTRL, AB7920,58.0,361.6666666666667
CTRL, AB7920,60.0,350.6666666666667
CTRL, AB7920,62.0,350.0
CTRL, AB7920,64.0,366.3333333333333
CTRL, AB7920,66.0,340.6666666666667
CTRL, AB7920,68.0,336.3333333333333
CTRL, AB7920,70.0,297.3333333333333
CTRL, AB7920,72.0,284.0
CTRL, AB7920,74.0,272.3333333333333
CTRL, AB7920,76.0,274.6666666666667
CTRL, AB7920,78.0,273.3333333333333
CTRL, AB7920,80.0,256.6666666666667
CTRL, AB7920,82.0,229.0
CTRL, AB7920,84.0,140.0
CTRL, AB7920,86.0,168.66666666666666
CTRL, AB7920,88.0,176.66666666666666
CTRL, AB7920,90.0,130.0
CTRL, AB7920,92.0,92.0
CTRL, AB7920,94.0,74.33333333333333
CTRL, AB7920,96.0,59.0
CTRL, AB7920,98.0,43.333333333333336
CTRL, AB7923,2.0,60.0
CTRL, AB7923,4.0,54.666666666666664
CTRL, AB7923,6.0,59.333333333333336
CTRL, AB7923,8.0,54.0
CTRL, AB7923,10.0,41.333333333333336
CTRL, AB7923,12.0,26.0
CTRL, AB7923,14.0,11.666666666666666
CTRL, AB7923,16.0,21.0
CTRL, AB7923,18.0,38.0
CTRL, AB7923,20.0,94.66666666666667
CTRL, AB7923,22.0,165.0
CTRL, AB7923,24.0,196.0
CTRL, AB7923,26.0,235.0
CTRL, AB7923,28.0,188.66666666666666
CTRL, AB7923,30.0,184.66666666666666
CTRL, AB7923,32.0,168.33333333333334
CTRL, AB7923,34.0,140.0
CTRL, AB7923,36.0,132.0
CTRL, AB7923,38.0,109.33333333333333
CTRL, AB7923,40.0,88.33333333333333
